#r_p -23 to -22 -22 to -21 -21 to -20 -20 to -19 -19 to -18 -18 to -17
0.17 273.8  40.0  131.7  8.0  108.4  8.5  87.6  8.5  59.2  10.8 
0.27 160.2  19.6  101.1  5.4  89.7  6.9  72.1  6.6  78.2  11.7 
0.42 132.5  11.6  80.3  3.9  64.8  4.4  52.1  6.9  60.9  10.1 
0.67 111.6  350.0  77.7  7.0  58.1  3.0  48.8  4.1  44.9  4.7  46.2  9.6 
1.1 164.5  129.8  66.4  4.4  45.3  2.3  37.9  2.8  34.1  4.8  40.3  8.1 
1.7 55.6  62.6  47.0  2.5  37.2  2.0  27.9  2.9  24.6  3.6  31.5  8.5 
2.7 20.9  36.9  28.7  1.9  27.9  1.8  20.1  2.5  18.0  2.9  25.2  8.5 
4.2 98.9  32.8  23.8  1.6  20.7  1.7  16.1  2.2  11.8  2.0  17.9  7.5 
6.7 56.9  16.8  15.6  1.1  14.5  1.6  11.1  1.9  7.26  1.74  10.6  4.7 
10.6 32.7  13.8  10.6  1.0  10.4  1.4  7.17  1.40  4.27  1.20  1.95  2.50 
16.9 25.6  8.4  6.08  0.79  6.33  1.09  3.75  1.15  2.87  0.93  -1.01  2.12 
26.8 15.7  7.1  3.41  0.61  3.77  0.84  1.57  0.96  1.26  0.70  -0.68  1.27 
42.3 13.6  4.0  2.07  0.51  2.95  0.68  0.33  0.71  0.15  0.72  -3.64  1.15 
