31.87     25.20     20.58     27.49     26.79     −25.63     46.62
38.93     24.35     16.23     33.66     21.47     76.67     37.55
47.54     53.35     12.37     58.77     15.59     79.43     31.38
58.07     25.61     10.94     31.28     14.38     28.00     28.56
70.93     22.93     9.57     26.64     11.99     18.30     21.53
86.63     11.06     7.23     7.53     9.68     28.00     18.08
105.81     17.59     5.64     11.42     7.14     26.59     11.84
129.24     1.95     5.41     −1.28     7.41     11.41     11.80
157.85     3.16     4.01     10.58     5.29     21.32     9.11
192.80     2.66     3.00     2.05     3.89     1.61     7.33
235.49     3.35     2.85     8.51     3.69     7.15     6.87
287.63     0.41     2.42     0.33     3.15     1.19     5.76
351.31     2.26     1.90     1.80     2.42     −2.55     4.18
429.09     1.22     1.71     2.31     2.34     5.88     3.87
524.09     1.69     1.22     1.59     1.58     1.33     3.19
640.13     1.92     1.04     0.90     1.32     −0.21     2.44
781.85     2.14     0.83     1.52     1.21     −1.26     2.10
954.96     1.28     0.68     1.65     0.92     2.61     1.50
1166.39     1.27     0.63     1.62     0.80     0.54     1.51
1424.63     1.03     0.53     1.05     0.66     3.27     1.22
1740.04     1.15     0.40     1.75     0.53     2.26     0.96
2125.29     0.87     0.33     0.96     0.49     0.76     0.84
2595.84     0.87     0.31     0.78     0.40     0.51     0.70
3170.56     0.52     0.23     0.65     0.31     0.49     0.55
