31.87     63.93     20.39     67.10     21.61     108.45     29.36
38.93     19.61     19.42     23.82     20.14     38.28     24.27
47.54     49.80     14.42     58.03     15.50     62.67     19.85
58.07     35.86     10.89     38.84     11.68     34.55     14.83
70.93     16.36     9.28     20.42     9.48     28.13     13.60
86.63     19.23     7.35     16.20     7.49     20.33     10.20
105.81     16.45     6.09     14.62     6.42     20.09     8.52
129.24     19.80     5.42     17.45     5.33     23.94     6.82
157.85     7.47     4.47     6.47     4.44     9.73     5.47
192.80     10.42     4.11     12.09     4.23     14.98     5.39
235.49     6.39     3.07     5.33     3.20     6.38     3.99
287.63     11.60     2.22     12.45     2.38     17.15     3.17
351.31     6.31     1.83     6.21     1.87     8.21     2.61
429.09     6.84     1.59     7.63     1.58     8.59     2.10
524.09     6.16     1.31     6.34     1.32     6.19     1.82
640.13     7.25     1.20     7.37     1.25     7.32     1.58
781.85     4.93     1.01     4.64     1.08     6.42     1.37
954.96     5.61     0.85     5.50     0.87     4.10     1.11
1166.39     4.84     0.81     5.15     0.83     5.25     0.96
1424.63     3.38     0.65     3.35     0.66     3.29     0.72
1740.04     3.70     0.66     3.69     0.65     3.26     0.73
2125.29     2.65     0.53     2.42     0.52     2.21     0.59
2595.84     2.35     0.49     2.31     0.50     1.87     0.52
3170.56     2.26     0.42     2.13     0.42     1.71     0.39
